customer_id,snapshot_yearmonth,snapshot_date,login_count_last_30d,support_tickets_last_30d,current_mrr,is_churned,churn_risk_score,signup_date,region,subscription_tier,initial_mrr
CUST_0001,2023-08,2023-08-01,11,2,225.4,0,0.0,2023-08-01,Portugal,Basic,225.88
CUST_0001,2023-09,2023-09-01,17,1,230.08,0,0.0,2023-08-01,Portugal,Basic,225.88
CUST_0001,2023-10,2023-10-01,6,1,224.04,0,0.0,2023-08-01,Portugal,Basic,225.88
CUST_0001,2023-11,2023-11-01,11,0,243.21,0,0.0,2023-08-01,Portugal,Basic,225.88
CUST_0001,2023-12,2023-12-01,16,1,218.16,0,0.0,2023-08-01,Portugal,Basic,225.88
CUST_0001,2024-01,2024-01-01,16,0,246.05,0,0.0,2023-08-01,Portugal,Basic,225.88
CUST_0001,2024-01,2024-01-31,0,0,0.0,1,0.7,2023-08-01,Portugal,Basic,225.88
CUST_0002,2024-06,2024-06-01,10,1,572.83,0,0.0,2024-05-25,Jordan,Enterprise,564.81
CUST_0002,2024-07,2024-07-01,14,0,547.28,0,0.0,2024-05-25,Jordan,Enterprise,564.81
CUST_0002,2024-08,2024-08-01,11,2,604.99,0,0.0,2024-05-25,Jordan,Enterprise,564.81
CUST_0002,2024-09,2024-09-01,11,2,604.65,0,0.0,2024-05-25,Jordan,Enterprise,564.81
CUST_0002,2024-10,2024-10-01,22,0,606.42,0,0.0,2024-05-25,Jordan,Enterprise,564.81
CUST_0002,2024-11,2024-11-01,10,0,613.18,0,0.0,2024-05-25,Jordan,Enterprise,564.81
CUST_0002,2024-12,2024-12-01,13,0,619.08,0,0.0,2024-05-25,Jordan,Enterprise,564.81
CUST_0002,2025-05,2025-05-31,0,0,0.0,1,0.7,2024-05-25,Jordan,Enterprise,564.81
CUST_0003,2023-04,2023-04-01,15,0,1021.06,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2023-05,2023-05-01,13,1,983.56,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2023-06,2023-06-01,14,2,949.33,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2023-07,2023-07-01,12,1,1011.72,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2023-08,2023-08-01,11,1,944.96,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2023-09,2023-09-01,13,3,1007.42,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2023-10,2023-10-01,4,1,1001.32,0,0.4,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2023-11,2023-11-01,14,1,965.25,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2023-12,2023-12-01,16,3,912.68,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2024-01,2024-01-01,8,3,696.67,0,0.3,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2024-02,2024-02-01,20,2,850.57,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2024-03,2024-03-01,10,1,870.84,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2024-04,2024-04-01,17,0,855.81,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2024-05,2024-05-01,8,4,999.19,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2024-06,2024-06-01,12,4,836.4,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2024-07,2024-07-01,10,0,914.0,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2024-08,2024-08-01,10,0,836.0,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2024-09,2024-09-01,2,0,963.72,0,0.4,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2024-10,2024-10-01,15,2,846.1,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2024-11,2024-11-01,11,3,920.51,0,0.0,2023-03-23,Myanmar,Pro,879.3
CUST_0003,2024-12,2024-12-01,10,2,763.79,0,0.3,2023-03-23,Myanmar,Pro,879.3
CUST_0004,2022-11,2022-11-01,8,1,714.68,0,0.0,2022-10-30,Myanmar,Pro,745.61
